geneId	position	strand	description
B9J08_004096	scaffold00001:3167413-3168546	+	hypothetical protein
B9J08_004097	scaffold00001:3168635-3170647	-	hypothetical protein
B9J08_004098	scaffold00001:3174268-3178011	-	hypothetical protein
B9J08_004099	scaffold00001:3182242-3183810	+	hypothetical protein
B9J08_004100	scaffold00001:3186234-3188516	+	hypothetical protein
B9J08_004101	scaffold00001:3189874-3190734	+	hypothetical protein
B9J08_004102	scaffold00001:3193424-3193795	-	hypothetical protein
B9J08_004103	scaffold00007:1277-1753	-	hypothetical protein
B9J08_004104	scaffold00007:5414-5767	-	hypothetical protein
B9J08_004105	scaffold00007:8037-8648	+	hypothetical protein
B9J08_004106	scaffold00007:16785-17828	-	hypothetical protein
B9J08_004107	scaffold00007:18610-19125	+	hypothetical protein
B9J08_004108	scaffold00007:20443-20754	+	hypothetical protein
B9J08_004109	scaffold00007:24385-33225	+	hypothetical protein
B9J08_004110	scaffold00007:35118-37112	+	hypothetical protein
B9J08_004111	scaffold00007:37375-38880	-	hypothetical protein
B9J08_004112	scaffold00007:41482-46869	-	hypothetical protein
B9J08_004113	scaffold00007:53718-55451	+	hypothetical protein
B9J08_004114	scaffold00007:56238-57011	-	hypothetical protein
B9J08_004115	scaffold00007:57475-58569	-	hypothetical protein
B9J08_004116	scaffold00007:58942-59922	-	hypothetical protein
B9J08_004117	scaffold00007:60601-61971	-	hypothetical protein
B9J08_004118	scaffold00007:62494-63915	-	hypothetical protein
B9J08_004119	scaffold00007:65129-66082	-	hypothetical protein
B9J08_004120	scaffold00007:66279-68339	+	hypothetical protein
B9J08_004121	scaffold00007:68725-69141	+	hypothetical protein
B9J08_004122	scaffold00007:69735-70913	+	4-hydroxybenzoate polyprenyl transferase
B9J08_004123	scaffold00007:70929-73874	-	hypothetical protein
B9J08_004124	scaffold00007:74243-75583	-	glutamate 5-kinase
B9J08_004125	scaffold00007:77251-77673	+	hypothetical protein
B9J08_004126	scaffold00007:78862-79641	+	hypothetical protein
B9J08_004127	scaffold00007:80089-80162	+	tRNA-Ile
B9J08_004128	scaffold00007:80173-80245	+	tRNA-Ala
B9J08_004129	scaffold00007:80561-82393	-	ABC transporter ATP-binding protein ARB1
B9J08_004130	scaffold00007:83947-85602	+	hypothetical protein
B9J08_004131	scaffold00007:85863-86471	+	hypothetical protein
B9J08_004132	scaffold00007:87574-90669	+	hypothetical protein
B9J08_004133	scaffold00007:90726-97280	-	hypothetical protein
B9J08_004134	scaffold00007:97535-99685	-	hypothetical protein
B9J08_004135	scaffold00007:101166-102302	-	hypothetical protein
B9J08_004136	scaffold00007:113277-114962	-	hypothetical protein
B9J08_004137	scaffold00007:116700-118601	+	hypothetical protein
B9J08_004138	scaffold00007:119201-124537	+	hypothetical protein
B9J08_004139	scaffold00007:124605-128369	-	hypothetical protein
B9J08_004140	scaffold00007:128996-130884	+	hypothetical protein
B9J08_004141	scaffold00007:130988-131825	+	hypothetical protein
B9J08_004142	scaffold00007:131889-132911	-	hypothetical protein
B9J08_004143	scaffold00007:134625-137861	+	hypothetical protein
B9J08_004144	scaffold00007:137995-138573	-	hypothetical protein
B9J08_004145	scaffold00007:138690-141002	-	cysteine-tRNA ligase
B9J08_004146	scaffold00007:142780-143395	+	hypothetical protein
B9J08_004147	scaffold00007:145071-147374	-	elongation factor G%2C mitochondrial
B9J08_004148	scaffold00007:148892-149902	-	hypothetical protein
B9J08_004149	scaffold00007:153125-154321	+	hypothetical protein
B9J08_004150	scaffold00007:156135-159608	-	hypothetical protein
B9J08_004151	scaffold00007:160316-165022	-	hypothetical protein
B9J08_004152	scaffold00007:167317-168165	+	hypothetical protein
B9J08_004153	scaffold00007:168465-169214	-	hypothetical protein
B9J08_004154	scaffold00007:172824-174212	+	hypothetical protein
B9J08_004155	scaffold00007:174247-174738	-	D-tyrosyl-tRNA(Tyr) deacylase
B9J08_004156	scaffold00007:175364-176896	-	hypothetical protein
B9J08_004157	scaffold00007:177559-179093	-	hypothetical protein
B9J08_004158	scaffold00007:180289-180852	-	6%2C7-dimethyl-8-ribityllumazine synthase
B9J08_004159	scaffold00007:180931-181578	-	hypothetical protein
B9J08_004160	scaffold00007:183276-183758	-	hypothetical protein
B9J08_004161	scaffold00007:185008-186561	+	hypothetical protein
B9J08_004162	scaffold00007:188155-189462	+	G2/mitotic-specific cyclin-4
B9J08_004163	scaffold00007:189961-190761	+	hypothetical protein
B9J08_004164	scaffold00007:190883-193399	-	hypothetical protein
B9J08_004165	scaffold00007:193558-194514	+	hypothetical protein
B9J08_004166	scaffold00007:194519-198412	-	hypothetical protein
B9J08_004167	scaffold00007:198664-201318	-	hypothetical protein
B9J08_004168	scaffold00007:202976-204343	-	hypothetical protein
B9J08_004169	scaffold00007:204809-205189	-	hypothetical protein
B9J08_004170	scaffold00007:205856-208078	+	ATP-dependent RNA helicase DBP2
B9J08_004171	scaffold00007:208893-209678	-	hypothetical protein
B9J08_004172	scaffold00007:213457-214998	+	hypothetical protein
B9J08_004173	scaffold00007:215632-217164	+	hypothetical protein
B9J08_004174	scaffold00007:218026-218763	+	hypothetical protein
B9J08_004175	scaffold00007:219951-221534	+	hypothetical protein
B9J08_004176	scaffold00007:223111-224688	+	hypothetical protein
B9J08_004177	scaffold00007:226732-228312	+	hypothetical protein
B9J08_004178	scaffold00007:229181-232816	+	hypothetical protein
B9J08_004179	scaffold00007:232819-233472	-	hypothetical protein
B9J08_004180	scaffold00007:233832-234251	-	hypothetical protein
B9J08_004181	scaffold00007:235325-236158	+	hypothetical protein
B9J08_004182	scaffold00007:236740-239439	-	hypothetical protein
B9J08_004183	scaffold00007:242142-243689	+	hypothetical protein
B9J08_004184	scaffold00007:243763-245121	-	hypothetical protein
B9J08_004185	scaffold00007:246983-247777	-	hypothetical protein
B9J08_004186	scaffold00007:248055-249848	+	hypothetical protein
B9J08_004187	scaffold00007:250313-250771	-	hypothetical protein
B9J08_004188	scaffold00007:251334-253103	-	hypothetical protein
B9J08_004189	scaffold00007:255661-256167	+	iron donor protein CyaY
B9J08_004190	scaffold00007:257332-259494	+	hypothetical protein
B9J08_004191	scaffold00007:259511-260533	-	hypothetical protein
B9J08_004192	scaffold00007:261040-264225	-	hypothetical protein
B9J08_004193	scaffold00007:267326-268993	-	hypothetical protein
B9J08_004194	scaffold00007:269861-271144	-	hypothetical protein
B9J08_004195	scaffold00007:272387-273298	+	hypothetical protein
B9J08_004196	scaffold00007:274015-275367	+	hypothetical protein
B9J08_004197	scaffold00007:275796-276980	+	hypothetical protein
B9J08_004198	scaffold00007:276987-278882	-	hypothetical protein
B9J08_004199	scaffold00007:279836-279906	+	tRNA-Gly
B9J08_004200	scaffold00007:280733-281596	+	hypothetical protein
B9J08_004201	scaffold00007:281703-285539	-	hypothetical protein
B9J08_004202	scaffold00007:285781-285851	-	tRNA-Gly
B9J08_004203	scaffold00007:285863-285934	-	tRNA-Asp
B9J08_004204	scaffold00007:286439-288046	-	hypothetical protein
B9J08_004205	scaffold00007:291277-293481	-	hypothetical protein
B9J08_004206	scaffold00007:293991-295778	-	hypothetical protein
B9J08_004207	scaffold00007:296009-296623	-	hypothetical protein
B9J08_004208	scaffold00007:298207-298818	+	hypothetical protein
B9J08_004209	scaffold00007:300728-301831	+	hypothetical protein
B9J08_004210	scaffold00007:302068-303057	+	hypothetical protein
B9J08_004211	scaffold00007:303064-303927	-	hypothetical protein
B9J08_004212	scaffold00007:304008-304727	+	hypothetical protein
B9J08_004213	scaffold00007:304745-307393	-	hypothetical protein
B9J08_004214	scaffold00007:308957-310975	-	hypothetical protein
B9J08_004215	scaffold00007:311379-312362	-	hypothetical protein
B9J08_004216	scaffold00007:312799-314403	-	hypothetical protein
B9J08_004217	scaffold00007:314918-316561	-	hypothetical protein
B9J08_004218	scaffold00007:316814-316886	-	tRNA-Ala
B9J08_004219	scaffold00007:317438-318721	+	hypothetical protein
B9J08_004220	scaffold00007:318727-319881	-	hypothetical protein
B9J08_004221	scaffold00007:319978-321453	+	hypothetical protein
B9J08_004222	scaffold00007:322368-327287	+	hypothetical protein
B9J08_004223	scaffold00007:329242-329643	-	hypothetical protein
B9J08_004224	scaffold00007:330465-331689	+	isocitrate dehydrogenase [NAD] subunit 1%2C mitochondrial
B9J08_004225	scaffold00007:332045-333334	+	adenylosuccinate synthetase
B9J08_004226	scaffold00007:334184-335197	+	hypothetical protein
B9J08_004227	scaffold00007:335374-335814	-	hypothetical protein
B9J08_004228	scaffold00007:336048-336971	-	hypothetical protein
B9J08_004229	scaffold00007:337211-337597	-	hypothetical protein
B9J08_004230	scaffold00007:337709-340657	-	translation initiation factor aIF-2
B9J08_004231	scaffold00007:340853-341956	+	ribosome-interacting GTPase 1
B9J08_004232	scaffold00007:342204-345476	+	hypothetical protein
B9J08_004233	scaffold00007:345559-347604	+	hypothetical protein
B9J08_004234	scaffold00007:351675-352742	+	hypothetical protein
B9J08_004235	scaffold00007:354934-357576	-	hypothetical protein
B9J08_004236	scaffold00007:357895-359145	-	hypothetical protein
B9J08_004237	scaffold00007:359494-360078	+	hypothetical protein
B9J08_004238	scaffold00007:360663-361865	+	ribosomal protein S2
B9J08_004239	scaffold00007:361948-363165	-	hypothetical protein
B9J08_004240	scaffold00007:363769-364998	+	hypothetical protein
B9J08_004241	scaffold00007:365523-366302	-	hypothetical protein
B9J08_004242	scaffold00007:366498-371195	-	hypothetical protein
B9J08_004243	scaffold00007:372400-373929	+	hypothetical protein
B9J08_004244	scaffold00007:375649-375730	+	tRNA-Ser
B9J08_004245	scaffold00007:376285-377316	+	hypothetical protein
B9J08_004246	scaffold00007:377323-381648	-	hypothetical protein
B9J08_004247	scaffold00007:382192-382830	+	hypothetical protein
B9J08_004248	scaffold00007:383981-387238	-	hypothetical protein
B9J08_004249	scaffold00007:387430-390507	-	hypothetical protein
B9J08_004250	scaffold00007:390663-390745	+	tRNA-Lys
B9J08_004251	scaffold00007:390871-391731	-	hypothetical protein
B9J08_004252	scaffold00007:392022-395105	+	hypothetical protein
B9J08_004253	scaffold00007:396026-398938	+	hypothetical protein
B9J08_004254	scaffold00007:399507-403271	-	hypothetical protein
B9J08_004255	scaffold00007:403633-403714	-	tRNA-Ser
B9J08_004256	scaffold00007:404920-405606	-	hypothetical protein
B9J08_004257	scaffold00007:406381-407235	-	hypothetical protein
B9J08_004258	scaffold00007:407308-408003	-	hypothetical protein
B9J08_004259	scaffold00007:408579-409844	+	hypothetical protein
B9J08_004260	scaffold00007:412479-413717	-	hypothetical protein
B9J08_004261	scaffold00007:415983-417737	+	hypothetical protein
B9J08_004262	scaffold00007:418013-420124	+	hypothetical protein
B9J08_004263	scaffold00007:420256-421312	+	hypothetical protein
B9J08_004264	scaffold00007:421359-423182	-	hypothetical protein
B9J08_004265	scaffold00007:423881-425692	-	hypothetical protein
B9J08_004266	scaffold00007:426057-426338	-	hypothetical protein
B9J08_004267	scaffold00007:428076-429218	+	hypothetical protein
B9J08_004268	scaffold00007:429259-432306	-	hypothetical protein
B9J08_004269	scaffold00007:432865-433920	-	hypothetical protein
B9J08_004270	scaffold00007:435203-438115	+	hypothetical protein
B9J08_004271	scaffold00007:439825-440433	-	hypothetical protein
B9J08_004272	scaffold00007:441390-443108	+	hypothetical protein
B9J08_004273	scaffold00007:443681-444350	+	cytochrome c oxidase subunit 6%2C mitochondrial
B9J08_004274	scaffold00007:445024-446088	+	hypothetical protein
B9J08_004275	scaffold00007:446115-447287	-	hypothetical protein
B9J08_004276	scaffold00007:447432-448331	-	hypothetical protein
B9J08_004277	scaffold00007:450126-453095	+	hypothetical protein
B9J08_004278	scaffold00007:453102-455336	-	hypothetical protein
B9J08_004279	scaffold00007:457170-458831	+	hypothetical protein
B9J08_004280	scaffold00007:458960-459032	-	tRNA-Phe
B9J08_004281	scaffold00007:459037-459109	-	tRNA-Arg
B9J08_004282	scaffold00007:459380-460171	+	hypothetical protein
B9J08_004283	scaffold00007:460190-460525	+	hypothetical protein
B9J08_004284	scaffold00007:462374-463675	+	hypothetical protein
B9J08_004285	scaffold00007:464945-467353	+	heat shock protein 78%2C mitochondrial
B9J08_004286	scaffold00007:467528-471922	-	hypothetical protein
B9J08_004287	scaffold00007:474766-475812	+	hypothetical protein
B9J08_004288	scaffold00007:476017-477729	-	phosphomethylpyrimidine kinase
B9J08_004289	scaffold00007:477904-480162	-	AMP deaminase
B9J08_004290	scaffold00007:481050-481934	+	hypothetical protein
B9J08_004291	scaffold00007:482648-484636	+	hypothetical protein
B9J08_004292	scaffold00007:485370-486376	+	arginase
B9J08_004293	scaffold00007:487718-487813	+	tRNA-Ser
B9J08_004294	scaffold00007:487923-489515	+	hypothetical protein
B9J08_004295	scaffold00007:490134-493583	+	phosphatidylserine decarboxylase
B9J08_004296	scaffold00007:493680-493916	-	hypothetical protein
B9J08_004297	scaffold00007:494476-496734	-	methionine-tRNA ligase
B9J08_004298	scaffold00007:497265-498620	+	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase%2C A subunit
B9J08_004299	scaffold00007:498804-499655	-	GTP cyclohydrolase 1
B9J08_004300	scaffold00007:499957-503829	-	hypothetical protein
B9J08_004301	scaffold00007:505686-507092	-	hypothetical protein
B9J08_004302	scaffold00007:507415-507801	+	hypothetical protein
B9J08_004303	scaffold00007:507819-510338	-	hypothetical protein
B9J08_004304	scaffold00007:511092-513161	-	hypothetical protein
B9J08_004305	scaffold00007:516352-518340	+	hypothetical protein
B9J08_004306	scaffold00007:518562-519992	+	hypothetical protein
B9J08_004307	scaffold00007:520006-520770	-	hypothetical protein
B9J08_004308	scaffold00007:520939-521979	+	hypothetical protein
B9J08_004309	scaffold00007:523423-526362	+	6-phosphofructokinase
B9J08_004310	scaffold00007:530393-532210	+	hypothetical protein
B9J08_004311	scaffold00007:537301-537888	-	hypothetical protein
B9J08_004312	scaffold00007:537974-538044	-	tRNA-Gly
B9J08_004313	scaffold00007:538056-538127	-	tRNA-Asp
B9J08_004314	scaffold00007:539097-539921	+	hypothetical protein
B9J08_004315	scaffold00007:539996-540477	-	hypothetical protein
B9J08_004316	scaffold00007:544753-545499	+	hypothetical protein
B9J08_004317	scaffold00007:545839-547587	-	1-pyrroline-5-carboxylate dehydrogenase
B9J08_004318	scaffold00007:548390-549439	-	hypothetical protein
B9J08_004319	scaffold00007:549886-550989	-	hypothetical protein
B9J08_004320	scaffold00007:552003-552680	+	hypothetical protein
B9J08_004321	scaffold00007:552731-558490	-	hypothetical protein
B9J08_004322	scaffold00007:560768-562465	+	ATP-dependent RNA helicase HAS1
B9J08_004323	scaffold00007:562890-563897	+	hypothetical protein
B9J08_004324	scaffold00007:563927-565585	-	hypothetical protein
B9J08_004325	scaffold00007:567392-567856	+	hypothetical protein
B9J08_004326	scaffold00007:567916-570153	-	hypothetical protein
B9J08_004327	scaffold00007:571313-571609	+	hypothetical protein
B9J08_004328	scaffold00007:571716-572729	-	hypothetical protein
B9J08_004329	scaffold00007:572972-575227	-	hypothetical protein
B9J08_004330	scaffold00007:575326-576855	+	hypothetical protein
B9J08_004331	scaffold00007:577850-578896	+	alcohol dehydrogenase 1
B9J08_004332	scaffold00007:579135-579623	-	hypothetical protein
B9J08_004333	scaffold00007:581382-583700	+	hypothetical protein
B9J08_004334	scaffold00007:584867-586522	+	hypothetical protein
B9J08_004335	scaffold00007:586834-587850	+	hypothetical protein
B9J08_004336	scaffold00007:587937-589325	-	hypothetical protein
B9J08_004337	scaffold00007:589444-591687	-	hypothetical protein
B9J08_004338	scaffold00007:592849-594435	+	T-complex protein 1 subunit gamma
B9J08_004339	scaffold00007:595578-598355	+	hypothetical protein
B9J08_004340	scaffold00007:599132-600127	+	hypothetical protein
B9J08_004341	scaffold00007:600148-601353	-	hypothetical protein
B9J08_004342	scaffold00007:603306-603377	+	tRNA-Gln
B9J08_004343	scaffold00007:603837-605993	+	hypothetical protein
B9J08_004344	scaffold00007:606098-611023	-	hypothetical protein
B9J08_004345	scaffold00007:612696-613949	-	hypothetical protein
B9J08_004346	scaffold00007:614688-616160	-	hypothetical protein
B9J08_004347	scaffold00007:617353-619095	+	hypothetical protein
B9J08_004348	scaffold00007:619485-620120	+	hypothetical protein
B9J08_004349	scaffold00007:620957-623347	+	hypothetical protein
B9J08_004350	scaffold00007:623443-623946	+	hypothetical protein
B9J08_004351	scaffold00007:624072-625280	-	hypothetical protein
B9J08_004352	scaffold00007:625665-627014	-	adenosylhomocysteinase
B9J08_004353	scaffold00007:627821-630376	-	hypothetical protein
B9J08_004354	scaffold00007:631400-632110	-	hypothetical protein
B9J08_004355	scaffold00007:632273-634330	-	hypothetical protein
B9J08_004356	scaffold00007:635334-636608	-	hypothetical protein
B9J08_004357	scaffold00007:637523-638965	-	Cys-Gly metallodipeptidase DUG1
B9J08_004358	scaffold00007:640439-642031	+	hypothetical protein
B9J08_004359	scaffold00007:642148-642993	+	pyrimidine 5'-nucleotidase
B9J08_004360	scaffold00007:643266-644087	+	hypothetical protein
B9J08_004361	scaffold00007:644393-645289	-	protein disulfide-isomerase domain
B9J08_004362	scaffold00007:645679-646432	-	hypothetical protein
B9J08_004363	scaffold00007:646701-647682	+	hypothetical protein
B9J08_004364	scaffold00007:647742-648803	-	hypothetical protein
B9J08_004365	scaffold00007:649196-650128	-	succinate/fumarate mitochondrial transporter
B9J08_004366	scaffold00007:651732-652124	-	hypothetical protein
B9J08_004367	scaffold00007:652309-653148	-	hypothetical protein
B9J08_004368	scaffold00007:653671-655335	-	hypothetical protein
B9J08_004369	scaffold00007:655816-657009	-	mitogen-activated protein kinase HOG1
B9J08_004370	scaffold00007:658617-660230	-	hypothetical protein
B9J08_004371	scaffold00007:661228-661878	+	hypothetical protein
B9J08_004372	scaffold00007:662171-663196	-	delta-aminolevulinic acid dehydratase
B9J08_004373	scaffold00007:664439-665233	-	hypothetical protein
B9J08_004374	scaffold00007:665804-668323	-	hypothetical protein
B9J08_004375	scaffold00007:668982-669728	-	phosphoglycerate mutase
B9J08_004376	scaffold00007:670319-671332	-	hypothetical protein
B9J08_004377	scaffold00007:673650-674363	-	hypothetical protein
B9J08_004378	scaffold00007:677343-678101	+	hypothetical protein
B9J08_004379	scaffold00007:683212-683937	+	hypothetical protein
B9J08_004380	scaffold00007:684124-686022	-	glycerol kinase
B9J08_004381	scaffold00007:687885-689312	-	hypothetical protein
B9J08_004382	scaffold00007:690923-692155	-	hypothetical protein
B9J08_004383	scaffold00007:695457-700882	+	hypothetical protein
B9J08_004384	scaffold00007:701002-701862	+	hypothetical protein
B9J08_004385	scaffold00007:703194-704390	-	hypothetical protein
B9J08_004386	scaffold00007:704531-705793	-	hypothetical protein
B9J08_004387	scaffold00007:706354-707958	+	hypothetical protein
B9J08_004388	scaffold00007:710290-713556	+	hypothetical protein
B9J08_004389	scaffold00007:714443-716875	+	hypothetical protein
B9J08_004390	scaffold00007:716964-717569	-	hypothetical protein
B9J08_004391	scaffold00007:718821-719234	+	60S ribosomal protein L43
B9J08_004392	scaffold00007:719773-720345	+	hypothetical protein
B9J08_004393	scaffold00007:721348-723075	+	CTP synthase
B9J08_004394	scaffold00007:723940-724860	-	hypothetical protein
B9J08_004395	scaffold00007:726895-727845	+	hypothetical protein
B9J08_004396	scaffold00007:727879-728646	-	hypothetical protein
B9J08_004397	scaffold00007:729055-730323	-	hypothetical protein
B9J08_004398	scaffold00007:730746-734615	-	hypothetical protein
B9J08_004399	scaffold00007:736819-737583	+	hypothetical protein
B9J08_004400	scaffold00007:737836-739416	+	methionine-tRNA ligase
B9J08_004401	scaffold00007:740340-744278	+	hypothetical protein
B9J08_004402	scaffold00007:744371-744709	-	transcription elongation factor SPT4
B9J08_004403	scaffold00007:745262-746020	+	hypothetical protein
B9J08_004404	scaffold00007:746159-746985	+	hypothetical protein
B9J08_004405	scaffold00007:747016-749493	-	hypothetical protein
B9J08_004406	scaffold00007:750201-750977	+	Kae1-associated kinase Bud32
B9J08_004407	scaffold00007:751024-752076	-	hypothetical protein
B9J08_004408	scaffold00007:752362-753639	-	hypothetical protein
B9J08_004409	scaffold00007:754743-755156	+	hypothetical protein
B9J08_004410	scaffold00007:756670-757932	+	hypothetical protein
B9J08_004411	scaffold00007:757953-760082	-	hypothetical protein
B9J08_004412	scaffold00007:761029-761490	-	mitochondrial import inner membrane translocase subunit TIM14
B9J08_004413	scaffold00007:762020-762619	+	ribosome biogenesis protein RLP24
B9J08_004414	scaffold00007:764154-764585	+	hypothetical protein
B9J08_004415	scaffold00007:764638-765141	-	hypothetical protein
B9J08_004416	scaffold00007:765856-766557	+	hypothetical protein
B9J08_004417	scaffold00007:766671-767621	+	hypothetical protein
B9J08_004418	scaffold00007:767627-768079	-	hypothetical protein
B9J08_004419	scaffold00007:768892-771756	+	hypothetical protein
B9J08_004420	scaffold00007:771899-774079	+	hypothetical protein
B9J08_004421	scaffold00007:776010-777407	+	hypothetical protein
B9J08_004422	scaffold00007:777737-779080	+	hypothetical protein
B9J08_004423	scaffold00007:779176-779778	-	translation machinery-associated protein 22
B9J08_004424	scaffold00007:780575-783376	-	hypothetical protein
B9J08_004425	scaffold00007:783713-785689	-	hypothetical protein
B9J08_004426	scaffold00007:785843-786865	+	hypothetical protein
B9J08_004427	scaffold00007:788688-789782	+	hypothetical protein
B9J08_004428	scaffold00007:790088-791313	+	hypothetical protein
B9J08_004429	scaffold00007:791333-792517	-	hypothetical protein
B9J08_004430	scaffold00007:793113-798005	-	hypothetical protein
B9J08_004431	scaffold00007:799475-800239	-	60S ribosomal protein L2-A
B9J08_004432	scaffold00007:800564-801424	-	hypothetical protein
B9J08_004433	scaffold00007:803016-803492	-	hypothetical protein
B9J08_004434	scaffold00007:804433-805224	-	60S ribosomal protein L8-B
B9J08_004435	scaffold00007:806536-807561	-	hypothetical protein
B9J08_004436	scaffold00007:808314-810365	-	hypothetical protein
B9J08_004437	scaffold00007:810920-811900	-	hypothetical protein
B9J08_004438	scaffold00007:813025-815781	-	hypothetical protein
B9J08_004439	scaffold00007:817298-818419	-	hypothetical protein
B9J08_004440	scaffold00007:818623-820257	-	hypothetical protein
B9J08_004441	scaffold00007:823869-826946	+	hypothetical protein
B9J08_004442	scaffold00007:827023-827871	-	hypothetical protein
B9J08_004443	scaffold00007:828263-829438	-	hypothetical protein
B9J08_004444	scaffold00007:831996-833705	+	hypothetical protein
B9J08_004445	scaffold00007:833803-835500	-	hypothetical protein
B9J08_004446	scaffold00007:836225-838219	+	hypothetical protein
B9J08_004447	scaffold00007:839038-840597	+	hypothetical protein
B9J08_004448	scaffold00007:840715-842190	-	hypothetical protein
B9J08_004449	scaffold00007:842500-844227	-	hypothetical protein
B9J08_004450	scaffold00007:845341-846378	-	pyrimidine biosynthesis enzyme THI5
B9J08_004451	scaffold00007:851172-853325	+	hypothetical protein
B9J08_004452	scaffold00007:853805-858163	-	hypothetical protein
B9J08_004453	scaffold00007:859405-860835	-	hypothetical protein
B9J08_004454	scaffold00007:861253-861915	-	hypothetical protein
B9J08_004455	scaffold00007:862145-863992	-	hypothetical protein
B9J08_004456	scaffold00007:864461-866263	-	hypothetical protein
B9J08_004457	scaffold00007:867155-867658	-	nuclear transcription factor Y subunit B-3
B9J08_004458	scaffold00007:867875-870847	-	hypothetical protein
B9J08_004459	scaffold00007:872363-873265	-	acetolactate synthase small subunit%2C mitochondrial
B9J08_004460	scaffold00007:874850-875746	+	hypothetical protein
B9J08_004461	scaffold00007:875886-876794	-	prohibitin-2
B9J08_004462	scaffold00007:877064-878881	-	hypothetical protein
B9J08_004463	scaffold00007:879950-882490	+	hypothetical protein
B9J08_004464	scaffold00007:882709-883308	-	hypothetical protein
B9J08_004465	scaffold00007:885604-887247	+	hypothetical protein
B9J08_004466	scaffold00007:887462-889222	-	gamma-glutamyltransferase
B9J08_004467	scaffold00007:890872-891846	+	hypothetical protein
B9J08_004468	scaffold00007:891995-893938	-	hypothetical protein
B9J08_004469	scaffold00007:895738-896331	+	hypothetical protein
B9J08_004470	scaffold00006:6031-6148	-	5s_rRNA
B9J08_004471	scaffold00006:14072-14425	+	hypothetical protein
B9J08_004472	scaffold00006:15746-16624	+	allantoate permease
B9J08_004473	scaffold00006:17701-19120	-	hypothetical protein
B9J08_004474	scaffold00006:21658-23613	+	hypothetical protein
B9J08_004475	scaffold00006:24325-26277	+	hypothetical protein
B9J08_004476	scaffold00006:27528-28382	+	hypothetical protein
B9J08_004477	scaffold00006:28600-29889	-	hypothetical protein
B9J08_004478	scaffold00006:32248-33795	+	hypothetical protein
B9J08_004479	scaffold00006:33830-36601	-	OPT family small oligopeptide transporter
B9J08_004480	scaffold00006:37552-39936	-	hypothetical protein
B9J08_004481	scaffold00006:40773-41645	+	hypothetical protein
B9J08_004482	scaffold00006:41831-42886	+	hypothetical protein
B9J08_004483	scaffold00006:43023-43268	+	Cx9C domain-containing protein-containing protein 4%2C mitochondrial
B9J08_004484	scaffold00006:43677-44354	-	hypothetical protein
B9J08_004485	scaffold00006:44551-45741	-	obg-like ATPase 1
B9J08_004486	scaffold00006:46041-46328	+	hypothetical protein
B9J08_004487	scaffold00006:46432-48963	-	hypothetical protein
B9J08_004488	scaffold00006:49947-50777	+	hypothetical protein
B9J08_004489	scaffold00006:50850-53663	-	hypothetical protein
B9J08_004490	scaffold00006:55416-57677	+	hypothetical protein
B9J08_004491	scaffold00006:57762-61502	-	hypothetical protein
B9J08_004492	scaffold00006:61982-63874	-	hypothetical protein
B9J08_004493	scaffold00006:64734-68597	+	hypothetical protein
B9J08_004494	scaffold00006:68709-70061	-	hypothetical protein
B9J08_004495	scaffold00006:70764-71603	-	hypothetical protein
B9J08_004496	scaffold00006:72021-73052	-	hypothetical protein
B9J08_004497	scaffold00006:73765-74679	-	hypothetical protein
B9J08_004498	scaffold00006:76557-79076	+	hypothetical protein
B9J08_004499	scaffold00006:79344-80746	-	tubulin alpha chain
B9J08_004500	scaffold00006:81029-82369	-	hydroxymethylglutaryl-CoA synthase
B9J08_004501	scaffold00006:84091-85752	+	D-arabinono-1%2C4-lactone oxidase
B9J08_004502	scaffold00006:85789-88638	-	hypothetical protein
B9J08_004503	scaffold00006:88988-89802	-	hypothetical protein
B9J08_004504	scaffold00006:89997-93554	-	hypothetical protein
B9J08_004505	scaffold00006:93721-95505	-	hypothetical protein
B9J08_004506	scaffold00006:96074-96511	-	hypothetical protein
B9J08_004507	scaffold00006:96781-98196	-	hypothetical protein
B9J08_004508	scaffold00006:98751-99254	-	ubiquitin-conjugating enzyme E2 7
B9J08_004509	scaffold00006:100147-102864	+	hypothetical protein
B9J08_004510	scaffold00006:103110-103688	+	hypothetical protein
B9J08_004511	scaffold00006:103732-105531	-	hypothetical protein
B9J08_004512	scaffold00006:106157-107074	+	hypothetical protein
B9J08_004513	scaffold00006:107547-109127	+	hypothetical protein
B9J08_004514	scaffold00006:109643-110560	+	hypothetical protein
B9J08_004515	scaffold00006:111298-112629	+	hypothetical protein
B9J08_004516	scaffold00006:112715-115660	-	hypothetical protein
B9J08_004517	scaffold00006:116459-117007	-	hypothetical protein
B9J08_004518	scaffold00006:117641-118210	+	hypothetical protein
B9J08_004519	scaffold00006:118301-118831	+	hypothetical protein
B9J08_004520	scaffold00006:120296-122632	+	hypothetical protein
B9J08_004521	scaffold00006:122850-127340	+	hypothetical protein
B9J08_004522	scaffold00006:127562-129583	+	hypothetical protein
B9J08_004523	scaffold00006:129646-131484	+	hypothetical protein
B9J08_004524	scaffold00006:131506-132102	-	hypothetical protein
B9J08_004525	scaffold00006:132889-133791	-	hypothetical protein
B9J08_004526	scaffold00006:136329-137696	-	hypothetical protein
B9J08_004527	scaffold00006:138507-139889	-	hypothetical protein
B9J08_004528	scaffold00006:140505-141266	-	hypothetical protein
B9J08_004529	scaffold00006:141740-143374	+	hypothetical protein
